[22137830, 22139270]
[28351780, 28355590]
[28355590, 28356190]
[28356190, 28356700]
[28356700, 28357240]
[28357240, 28358630]
[28358630, 28359980]
[28359980, 28360390]
[28360390, 28360580]
[28360580, 28361580]
[28361580, 28362050]
[28362050, 28362510]
[28362510, 28363310]
[28363310, 28364350]
[28364350, 28365050]
[28365050, 28365850]
[28365850, 28366850]
[28366850, 28367690]
[28367690, 28368560]
[28368560, 28370010]
[28370010, 28371010]
[28371010, 28372990]
[28372990, 28373830]
[28373830, 28374830]
[28374830, 28375860]
[28375860, 28377610]
[28377610, 28378120]
[28378120, 28378260]
[28378260, 28379580]
[28379580, 28380330]
[28380330, 28381230]
[28381230, 28382360]
[28382360, 28383220]
[28383220, 28384210]
[28384210, 28385400]
[28385400, 28386220]
[28386220, 28388470]
[28388470, 28389270]
[28389270, 28389870]
[28389870, 28391190]
[28391190, 28391990]
[28391990, 28392180]
[28392180, 28393820]
[28393820, 28393940]
[28393940, 28394540]
[28394540, 28399640]
[28399640, 28400440]
[28400440, 28401040]
[28401040, 28402060]
[28402060, 28403760]
[28403760, 28404650]
[28404650, 28405890]
[28405890, 28407320]
[28407320, 28409780]
[28409780, 28410910]
[28410910, 28411980]
[28411980, 28412780]
[28412780, 28413590]
[28413590, 28414770]
[28414770, 28415570]
[28415570, 28416370]
[28416370, 28417190]
[28417190, 28418500]
[28418500, 28419300]
[28419300, 28420510]
[28420510, 28421590]
[28421590, 28422620]
[28422620, 28424580]
[28424580, 28425580]
[28425580, 28426380]
[28426380, 28427400]
[28427400, 28428910]
[28428910, 28430030]
[28430030, 28431020]
[28431020, 28433580]
[28433580, 28434830]
[28434830, 28435640]
[28435640, 28436460]
[28436460, 28439220]
[28439220, 28439830]
[28439830, 28440830]
[28440830, 28442210]
[28442210, 28443070]
[28443070, 28444130]
[28444130, 28445130]
[28445130, 28446130]
[28446130, 28447020]
[28447020, 28448020]
[28448020, 28449110]
[28449110, 28450680]
[28450680, 28451290]
[28451290, 28453310]
[28453310, 28454730]
[28454730, 28455770]
[28455770, 28456570]
[28456570, 28457370]
[28457370, 28458640]
[28458640, 28459450]
[28459450, 28460450]
[28460450, 28463230]
[28463230, 28464030]
[28464030, 28465030]
[28465030, 28465970]
[28465970, 28466560]
[28466560, 28467210]
[28467210, 28468960]
[28468960, 28469120]
[28469120, 28469920]
[28469920, 28471010]
[28471010, 28471810]
[28471810, 28473500]
[28473500, 28474300]
[28474300, 28474900]
[28474900, 28475900]
[28475900, 28476900]
[28476900, 28478570]
[28478570, 28480560]
[28480560, 28482190]
[28482190, 28483190]
[28483190, 28484740]
[28484740, 28485740]
[28485740, 28486750]
[28486750, 28487570]
[28487570, 28489350]
[28489350, 28490260]
[28490260, 28491260]
[28491260, 28492060]
[28492060, 28493400]
[28493400, 28494200]
[28494200, 28495200]
[28495200, 28496510]
[28496510, 28497320]
[28497320, 28498700]
[28498700, 28501410]
[28501410, 28502750]
[28502750, 28507410]
[28507410, 28508770]
[28508770, 28510320]
[28510320, 28510950]
[28510950, 28511960]
[28511960, 28512770]
[28512770, 28513850]
[28513850, 28514450]
[28514450, 28517760]
[28517760, 28518750]
[28518750, 28519550]
[28519550, 28520350]
[28520350, 28521370]
[28521370, 28523450]
[28523450, 28524410]
[28524410, 28525560]
[28525560, 28526160]
[28526160, 28527420]
[28527420, 28527540]
[28527540, 28527690]
[28527690, 28528020]
[28528020, 28528820]
[28528820, 28530020]
[28530020, 28530820]
[28530820, 28532280]
[28532280, 28533090]
[28533090, 28535230]
[28535230, 28536280]
[28536280, 28536860]
[28536860, 28537300]
[28537300, 28539130]
[28539130, 28539840]
[28539840, 28539970]
[28539970, 28541230]
[28541230, 28542230]
[28542230, 28543590]
[28543590, 28544390]
[28544390, 28545000]
[28545000, 28545800]
[28545800, 28546800]
[28546800, 28547850]
[28547850, 28548450]
[28548450, 28549380]
[28549380, 28550180]
[28550180, 28550980]
[28550980, 28552260]
[28552260, 28553140]
[28553140, 28554760]
[28554760, 28555560]
[28555560, 28557660]
[28557660, 28558460]
[28558460, 28559290]
[28559290, 28560320]
[28560320, 28561630]
[28561630, 28563980]
[28563980, 28564980]
[28564980, 28565780]
[28565780, 28568360]
[28568360, 28568960]
[28568960, 28569980]
[28569980, 28571370]
[28571370, 28572170]
[28572170, 28573360]
[28573360, 28574350]
[28574350, 28575170]
[28575170, 28576080]
[28576080, 28576220]
[28576220, 28576480]
[28576480, 28576860]
[28576860, 28577890]
[28577890, 28578000]
[28578000, 28578500]
[28578500, 28580420]
[28580420, 28581220]
[28581220, 28585610]
[28585610, 28585980]
[28585980, 28586350]
[28586350, 28587350]
[28587350, 28588040]
[28588040, 28588840]
[28588840, 28589460]
[28589460, 28590260]
[28590260, 28592310]
[28592310, 28593680]
[28593680, 28594680]
[28594680, 28595520]
[28595520, 28596910]
[28596910, 28598280]
[28598280, 28599290]
[28599290, 28600930]
[28600930, 28601730]
[28601730, 28604680]
[28604680, 28605530]
[28605530, 28606790]
